fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;trueLabel;label1;label2;label3;label4;label5
11.6;0.58;0.66;2.2;0.07400000000000001;10.0;47.0;1.0008;3.25;0.57;9.0;0.0;0.0;0.0;0.0;0.0;1.0
10.4;0.61;0.49;2.1;0.2;5.0;16.0;0.9994;3.16;0.63;8.4;0.0;0.0;0.0;0.0;0.0;1.0
10.5;0.59;0.49;2.1;0.07;14.0;47.0;0.9991;3.3;0.56;9.6;0.0;0.0;0.0;0.0;0.0;1.0
9.9;0.5;0.24;2.3;0.10300000000000001;6.0;14.0;0.9978;3.34;0.52;10.0;0.0;0.0;0.0;0.0;0.0;1.0
8.2;0.915;0.27;2.1;0.08800000000000001;7.0;23.0;0.9962;3.26;0.47;10.0;0.0;0.0;0.0;0.0;0.0;1.0
10.1;0.935;0.22;3.4;0.105;11.0;86.0;1.001;3.43;0.64;11.3;0.0;0.0;0.0;0.0;0.0;1.0
8.3;0.845;0.01;2.2;0.07;5.0;14.0;0.9967;3.32;0.58;11.0;0.0;0.0;0.0;0.0;0.0;1.0
7.1;0.84;0.02;4.4;0.096;5.0;13.0;0.997;3.41;0.57;11.0;0.0;0.0;0.0;0.0;0.0;1.0
7.4;1.185;0.0;4.25;0.09699999999999999;5.0;14.0;0.9966;3.63;0.54;10.7;0.0;0.0;0.0;0.0;0.0;1.0
7.5;0.38;0.48;2.6;0.073;22.0;84.0;0.9972;3.32;0.7;9.6;0.0;0.0;0.0;0.0;0.0;1.0
9.1;0.765;0.04;1.6;0.078;4.0;14.0;0.998;3.29;0.54;9.7;0.0;0.0;0.0;0.0;0.0;1.0
7.5;1.115;0.1;3.1;0.086;5.0;12.0;0.9958;3.54;0.6;11.2;0.0;0.0;0.0;0.0;0.0;1.0
6.9;0.39;0.24;2.1;0.102;4.0;7.0;0.9946200000000001;3.44;0.58;11.4;0.0;0.0;0.0;0.0;0.0;1.0
7.5;0.685;0.07;2.5;0.057999999999999996;5.0;9.0;0.9963200000000001;3.38;0.55;10.9;0.0;0.0;0.0;0.0;0.0;1.0
10.4;0.44;0.42;1.5;0.145;34.0;48.0;0.9983200000000001;3.38;0.86;9.9;0.0;0.0;0.0;0.0;0.0;1.0
11.6;0.47;0.44;1.6;0.147;36.0;51.0;0.99836;3.38;0.86;9.9;0.0;0.0;0.0;0.0;0.0;1.0
7.3;0.35;0.24;2.0;0.067;28.0;48.0;0.9957600000000001;3.43;0.54;10.0;0.0;0.0;0.0;0.0;0.0;1.0
7.1;0.47;0.0;2.2;0.067;7.0;14.0;0.9951700000000001;3.4;0.58;10.9;0.0;0.0;0.0;0.0;0.0;1.0
8.3;1.02;0.02;3.4;0.084;6.0;11.0;0.99892;3.48;0.49;11.0;0.0;0.0;0.0;0.0;0.0;1.0
8.4;0.67;0.19;2.2;0.09300000000000001;11.0;75.0;0.99736;3.2;0.59;9.2;0.0;0.0;0.0;0.0;0.0;1.0
12.0;0.63;0.5;1.4;0.071;6.0;26.0;0.9979100000000001;3.07;0.6;10.4;0.0;0.0;0.0;0.0;0.0;1.0
6.5;0.58;0.0;2.2;0.096;3.0;13.0;0.9955700000000001;3.62;0.62;11.5;0.0;0.0;0.0;0.0;0.0;1.0
6.5;0.88;0.03;5.6;0.079;23.0;47.0;0.99572;3.58;0.5;11.2;0.0;0.0;0.0;0.0;0.0;1.0
8.8;0.955;0.05;1.8;0.075;5.0;19.0;0.99616;3.3;0.44;9.6;0.0;0.0;0.0;0.0;0.0;1.0
10.2;0.23;0.37;2.2;0.057;14.0;36.0;0.9961399999999999;3.23;0.49;9.3;0.0;0.0;0.0;0.0;0.0;1.0
6.0;0.33;0.32;12.9;0.054000000000000006;6.0;113.0;0.99572;3.3;0.56;11.5;0.0;0.0;0.0;0.0;0.0;1.0
8.1;0.73;0.0;2.5;0.081;12.0;24.0;0.99798;3.38;0.46;9.6;0.0;0.0;0.0;0.0;0.0;1.0
6.5;0.67;0.0;4.3;0.057;11.0;20.0;0.9948799999999999;3.45;0.56;11.8;0.0;0.0;0.0;0.0;0.0;1.0
6.3;1.02;0.0;2.0;0.083;17.0;24.0;0.9943700000000001;3.59;0.55;11.2;0.0;0.0;0.0;0.0;0.0;1.0
8.2;0.78;0.0;2.2;0.08900000000000001;13.0;26.0;0.9978;3.37;0.46;9.6;0.0;0.0;0.0;0.0;0.0;1.0
8.5;0.4;0.4;6.3;0.05;3.0;10.0;0.99566;3.28;0.56;12.0;0.0;0.0;0.0;0.0;0.0;1.0
7.5;0.755;0.0;1.9;0.084;6.0;12.0;0.99672;3.34;0.49;9.7;0.0;0.0;0.0;0.0;0.0;1.0
7.6;1.58;0.0;2.1;0.13699999999999998;5.0;9.0;0.9947600000000001;3.5;0.4;10.9;0.0;0.0;0.0;0.0;0.0;1.0
6.8;0.68;0.09;3.9;0.068;15.0;29.0;0.99524;3.41;0.52;11.1;0.0;0.0;0.0;0.0;0.0;1.0
8.0;0.83;0.27;2.0;0.08;11.0;63.0;0.9965200000000001;3.29;0.48;9.8;0.0;0.0;0.0;0.0;0.0;1.0
6.6;0.61;0.0;1.6;0.069;4.0;8.0;0.9939600000000001;3.33;0.37;10.4;0.0;0.0;0.0;0.0;0.0;1.0
6.8;0.815;0.0;1.2;0.267;16.0;29.0;0.99471;3.32;0.51;9.8;0.0;0.0;0.0;0.0;0.0;1.0
6.4;0.53;0.09;3.9;0.12300000000000001;14.0;31.0;0.9968;3.5;0.67;11.0;0.0;0.0;0.0;0.0;0.0;1.0
6.2;0.785;0.0;2.1;0.06;6.0;13.0;0.99664;3.59;0.61;10.0;0.0;0.0;0.0;0.0;0.0;1.0
6.7;1.04;0.08;2.3;0.067;19.0;32.0;0.9964799999999999;3.52;0.57;11.0;0.0;0.0;0.0;0.0;0.0;1.0
7.3;0.98;0.05;2.1;0.061;20.0;49.0;0.99705;3.31;0.55;9.7;0.0;0.0;0.0;0.0;0.0;1.0
7.1;0.875;0.05;5.7;0.08199999999999999;3.0;14.0;0.99808;3.4;0.52;10.2;0.0;0.0;0.0;0.0;0.0;1.0
5.6;0.62;0.03;1.5;0.08;6.0;13.0;0.99498;3.66;0.62;10.1;0.0;0.0;0.0;0.0;0.0;1.0
7.2;0.58;0.54;2.1;0.114;3.0;9.0;0.9971899999999999;3.33;0.57;10.3;0.0;0.0;0.0;0.0;0.0;1.0
6.8;0.91;0.06;2.0;0.06;4.0;11.0;0.99592;3.53;0.64;10.9;0.0;0.0;0.0;0.0;0.0;1.0
6.7;0.76;0.02;1.8;0.078;6.0;12.0;0.996;3.55;0.63;9.95;0.0;0.0;0.0;0.0;0.0;1.0
6.9;0.48;0.2;1.9;0.08199999999999999;9.0;23.0;0.99585;3.39;0.43;9.05;0.0;0.0;0.0;0.0;0.0;1.0
7.4;0.7;0.0;1.9;0.076;11.0;34.0;0.9978;3.51;0.56;9.4;1.0;1.0;1.0;1.0;1.0;0.0
7.8;0.88;0.0;2.6;0.098;25.0;67.0;0.9968;3.2;0.68;9.8;1.0;1.0;1.0;1.0;1.0;0.0
7.8;0.76;0.04;2.3;0.092;15.0;54.0;0.997;3.26;0.65;9.8;1.0;1.0;1.0;1.0;1.0;0.0
11.2;0.28;0.56;1.9;0.075;17.0;60.0;0.998;3.16;0.58;9.8;1.0;1.0;1.0;1.0;1.0;0.0
7.4;0.7;0.0;1.9;0.076;11.0;34.0;0.9978;3.51;0.56;9.4;1.0;1.0;1.0;1.0;1.0;0.0
7.4;0.66;0.0;1.8;0.075;13.0;40.0;0.9978;3.51;0.56;9.4;1.0;1.0;1.0;1.0;1.0;0.0
7.9;0.6;0.06;1.6;0.069;15.0;59.0;0.9964;3.3;0.46;9.4;1.0;1.0;1.0;1.0;1.0;0.0
7.3;0.65;0.0;1.2;0.065;15.0;21.0;0.9946;3.39;0.47;10.0;1.0;1.0;1.0;1.0;1.0;0.0
7.8;0.58;0.02;2.0;0.073;9.0;18.0;0.9968;3.36;0.57;9.5;1.0;1.0;1.0;1.0;1.0;0.0
7.5;0.5;0.36;6.1;0.071;17.0;102.0;0.9978;3.35;0.8;10.5;1.0;1.0;1.0;1.0;1.0;0.0
6.7;0.58;0.08;1.8;0.09699999999999999;15.0;65.0;0.9959;3.28;0.54;9.2;1.0;1.0;1.0;1.0;1.0;0.0
7.5;0.5;0.36;6.1;0.071;17.0;102.0;0.9978;3.35;0.8;10.5;1.0;1.0;1.0;1.0;1.0;0.0
5.6;0.615;0.0;1.6;0.08900000000000001;16.0;59.0;0.9943;3.58;0.52;9.9;1.0;1.0;1.0;1.0;1.0;0.0
7.8;0.61;0.29;1.6;0.114;9.0;29.0;0.9974;3.26;1.56;9.1;1.0;1.0;1.0;1.0;1.0;0.0
8.9;0.62;0.18;3.8;0.17600000000000002;52.0;145.0;0.9986;3.16;0.88;9.2;1.0;1.0;1.0;1.0;1.0;0.0
8.9;0.62;0.19;3.9;0.17;51.0;148.0;0.9986;3.17;0.93;9.2;1.0;1.0;1.0;1.0;1.0;0.0
8.5;0.28;0.56;1.8;0.092;35.0;103.0;0.9969;3.3;0.75;10.5;1.0;1.0;1.0;1.0;1.0;0.0
8.1;0.56;0.28;1.7;0.368;16.0;56.0;0.9968;3.11;1.28;9.3;1.0;1.0;1.0;1.0;1.0;0.0
7.9;0.32;0.51;1.8;0.341;17.0;56.0;0.9969;3.04;1.08;9.2;1.0;1.0;1.0;1.0;1.0;0.0
8.9;0.22;0.48;1.8;0.077;29.0;60.0;0.9968;3.39;0.53;9.4;1.0;1.0;1.0;1.0;1.0;0.0
7.6;0.39;0.31;2.3;0.08199999999999999;23.0;71.0;0.9982;3.52;0.65;9.7;1.0;1.0;1.0;1.0;1.0;0.0
7.9;0.43;0.21;1.6;0.106;10.0;37.0;0.9966;3.17;0.91;9.5;1.0;1.0;1.0;1.0;1.0;0.0
8.5;0.49;0.11;2.3;0.084;9.0;67.0;0.9968;3.17;0.53;9.4;1.0;1.0;1.0;1.0;1.0;0.0
6.9;0.4;0.14;2.4;0.085;21.0;40.0;0.9968;3.43;0.63;9.7;1.0;1.0;1.0;1.0;1.0;0.0
6.3;0.39;0.16;1.4;0.08;11.0;23.0;0.9955;3.34;0.56;9.3;1.0;1.0;1.0;1.0;1.0;0.0
7.6;0.41;0.24;1.8;0.08;4.0;11.0;0.9962;3.28;0.59;9.5;1.0;1.0;1.0;1.0;1.0;0.0
7.9;0.43;0.21;1.6;0.106;10.0;37.0;0.9966;3.17;0.91;9.5;1.0;1.0;1.0;1.0;1.0;0.0
7.1;0.71;0.0;1.9;0.08;14.0;35.0;0.9972;3.47;0.55;9.4;1.0;1.0;1.0;1.0;1.0;0.0
7.8;0.645;0.0;2.0;0.08199999999999999;8.0;16.0;0.9964;3.38;0.59;9.8;1.0;1.0;1.0;1.0;1.0;0.0
6.7;0.675;0.07;2.4;0.08900000000000001;17.0;82.0;0.9958;3.35;0.54;10.1;1.0;1.0;1.0;1.0;1.0;0.0
6.9;0.685;0.0;2.5;0.105;22.0;37.0;0.9966;3.46;0.57;10.6;1.0;1.0;1.0;1.0;1.0;0.0
8.3;0.655;0.12;2.3;0.083;15.0;113.0;0.9966;3.17;0.66;9.8;1.0;1.0;1.0;1.0;1.0;0.0
6.9;0.605;0.12;10.7;0.073;40.0;83.0;0.9993;3.45;0.52;9.4;1.0;1.0;1.0;1.0;1.0;0.0
5.2;0.32;0.25;1.8;0.10300000000000001;13.0;50.0;0.9957;3.38;0.55;9.2;1.0;1.0;1.0;1.0;1.0;0.0
7.8;0.645;0.0;5.5;0.086;5.0;18.0;0.9986;3.4;0.55;9.6;1.0;1.0;1.0;1.0;1.0;0.0
7.8;0.6;0.14;2.4;0.086;3.0;15.0;0.9975;3.42;0.6;10.8;1.0;1.0;1.0;1.0;1.0;0.0
8.1;0.38;0.28;2.1;0.066;13.0;30.0;0.9968;3.23;0.73;9.7;1.0;1.0;1.0;1.0;1.0;0.0
7.3;0.45;0.36;5.9;0.07400000000000001;12.0;87.0;0.9978;3.33;0.83;10.5;1.0;1.0;1.0;1.0;1.0;0.0
7.3;0.45;0.36;5.9;0.07400000000000001;12.0;87.0;0.9978;3.33;0.83;10.5;1.0;1.0;1.0;1.0;1.0;0.0
7.5;0.49;0.2;2.6;0.332;8.0;14.0;0.9968;3.21;0.9;10.5;1.0;1.0;1.0;1.0;1.0;0.0
8.1;0.66;0.22;2.2;0.069;9.0;23.0;0.9968;3.3;1.2;10.3;1.0;1.0;1.0;1.0;1.0;0.0
6.8;0.67;0.02;1.8;0.05;5.0;11.0;0.9962;3.48;0.52;9.5;1.0;1.0;1.0;1.0;1.0;0.0
7.7;0.935;0.43;2.2;0.114;22.0;114.0;0.997;3.25;0.73;9.2;1.0;1.0;1.0;1.0;1.0;0.0
8.7;0.29;0.52;1.6;0.113;12.0;37.0;0.9969;3.25;0.58;9.5;1.0;1.0;1.0;1.0;1.0;0.0
6.4;0.4;0.23;1.6;0.066;5.0;12.0;0.9958;3.34;0.56;9.2;1.0;1.0;1.0;1.0;1.0;0.0
5.6;0.31;0.37;1.4;0.07400000000000001;12.0;96.0;0.9954;3.32;0.58;9.2;1.0;1.0;1.0;1.0;1.0;0.0
8.8;0.66;0.26;1.7;0.07400000000000001;4.0;23.0;0.9971;3.15;0.74;9.2;1.0;1.0;1.0;1.0;1.0;0.0
6.6;0.52;0.04;2.2;0.069;8.0;15.0;0.9956;3.4;0.63;9.4;1.0;1.0;1.0;1.0;1.0;0.0
6.6;0.5;0.04;2.1;0.068;6.0;14.0;0.9955;3.39;0.64;9.4;1.0;1.0;1.0;1.0;1.0;0.0
8.6;0.38;0.36;3.0;0.081;30.0;119.0;0.997;3.2;0.56;9.4;1.0;1.0;1.0;1.0;1.0;0.0
7.6;0.51;0.15;2.8;0.11;33.0;73.0;0.9955;3.17;0.63;10.2;1.0;1.0;1.0;1.0;1.0;0.0
7.7;0.62;0.04;3.8;0.084;25.0;45.0;0.9978;3.34;0.53;9.5;1.0;1.0;1.0;1.0;1.0;0.0
10.2;0.42;0.57;3.4;0.07;4.0;10.0;0.9971;3.04;0.63;9.6;1.0;1.0;1.0;1.0;1.0;0.0
7.5;0.63;0.12;5.1;0.111;50.0;110.0;0.9983;3.26;0.77;9.4;1.0;1.0;1.0;1.0;1.0;0.0
7.8;0.59;0.18;2.3;0.076;17.0;54.0;0.9975;3.43;0.59;10.0;1.0;1.0;1.0;1.0;1.0;0.0
7.3;0.39;0.31;2.4;0.07400000000000001;9.0;46.0;0.9962;3.41;0.54;9.4;1.0;1.0;1.0;1.0;1.0;0.0
8.8;0.4;0.4;2.2;0.079;19.0;52.0;0.998;3.44;0.64;9.2;1.0;1.0;1.0;1.0;1.0;0.0
7.7;0.69;0.49;1.8;0.115;20.0;112.0;0.9968;3.21;0.71;9.3;1.0;1.0;1.0;1.0;1.0;0.0
7.5;0.52;0.16;1.9;0.085;12.0;35.0;0.9968;3.38;0.62;9.5;1.0;1.0;1.0;1.0;1.0;0.0
7.0;0.735;0.05;2.0;0.081;13.0;54.0;0.9966;3.39;0.57;9.8;1.0;1.0;1.0;1.0;1.0;0.0
