;Gender;Length;Diameter;Height;Whole_Weight;Shucked_Weight;Viscera_Weight;Shell_Weight;Age;label1;label2;label3
18;2;0.365;0.295;0.08;0.2555;0.09699999999999999;0.043;0.1;7;2.445102722923891;5.687832745411718;7.650223151608303
19;2;0.45;0.32;0.1;0.381;0.1705;0.075;0.115;9;9.123104112042538;8.293265313117274;9.189567574719728
20;2;0.355;0.28;0.095;0.2455;0.0955;0.062;0.075;11;6.33149943592515;11.772715951083214;9.137847768776691
21;0;0.38;0.275;0.1;0.2255;0.08;0.049;0.085;10;18.441522541180923;10.232262388257142;9.661661390563774
22;1;0.565;0.44;0.155;0.9395;0.4275;0.214;0.27;12;9.719287354757732;12.951795068754102;11.687117737664606
23;1;0.55;0.415;0.135;0.7635;0.318;0.21;0.2;9;12.821614342512529;8.990399333963593;8.19051769444231
24;1;0.615;0.48;0.165;1.1615;0.513;0.301;0.305;10;5.754650092576111;12.217078059415133;10.730686138411635
25;1;0.56;0.44;0.14;0.9285;0.3825;0.188;0.3;11;7.572952298756127;9.102427313839376;10.353485771815855
26;1;0.58;0.45;0.185;0.9955;0.3945;0.272;0.285;11;17.44808577619743;9.900873077459032;9.175729016098314
27;2;0.59;0.445;0.14;0.9309999999999999;0.35600000000000004;0.23399999999999999;0.28;12;14.37665799024607;15.47075533188455;12.691504260449399
28;2;0.605;0.475;0.18;0.9365;0.39399999999999996;0.21899999999999997;0.295;15;24.06763512960815;15.123018036771166;15.250300769083768
29;2;0.575;0.425;0.14;0.8635;0.39299999999999996;0.22699999999999998;0.2;11;9.116834138630477;11.316967316552326;9.978828534607276
30;2;0.58;0.47;0.165;0.9975;0.3935;0.242;0.33;10;16.074832481124375;9.890341325240549;10.204717471533488
31;1;0.68;0.56;0.165;1.639;0.6055;0.2805;0.46;15;12.390660724666564;13.67355226862052;15.225514207962545
32;2;0.665;0.525;0.165;1.338;0.5515;0.3575;0.35;18;11.834948250742316;18.864537392301877;18.33775559236236
33;1;0.68;0.55;0.175;1.798;0.815;0.3925;0.455;19;22.058562144346627;21.55275610380013;19.155596445083344
34;1;0.705;0.55;0.2;1.7095;0.633;0.4115;0.49;13;13.28281167548111;17.268126655980545;13.742475964777244
35;2;0.465;0.355;0.105;0.4795;0.22699999999999998;0.124;0.125;8;10.984145893508781;8.262513463040227;6.642842267853097
36;1;0.54;0.475;0.155;1.217;0.5305;0.3075;0.34;16;18.75743012416843;16.666273260053106;15.969409984309573
37;1;0.45;0.355;0.105;0.5225;0.237;0.1165;0.145;8;9.739143847315981;6.153819955694478;8.534898062365029
38;1;0.575;0.445;0.135;0.883;0.381;0.2035;0.26;11;13.9462260994021;10.622814344749077;11.948185381021984
39;2;0.355;0.29;0.09;0.3275;0.134;0.086;0.09;9;9.847996644985475;10.242402814684128;8.53553979999856
40;1;0.45;0.335;0.105;0.425;0.1865;0.091;0.115;9;12.74256327478879;8.540592098877603;7.095965272173768
41;1;0.55;0.425;0.135;0.8515;0.36200000000000004;0.196;0.27;14;21.858521136212364;16.219092604374914;14.154504865922904
42;0;0.24;0.175;0.045;0.07;0.0315;0.0235;0.02;5;4.526192581838558;2.7758135105270485;4.925398062532713
43;0;0.205;0.15;0.055;0.042;0.0255;0.015;0.012;5;7.759820136401358;1.7212817902800444;6.495452482991788
44;0;0.21;0.15;0.05;0.042;0.0175;0.0125;0.015;4;1.310588917725247;3.748344313837059;4.553503001580033
45;0;0.39;0.295;0.095;0.203;0.0875;0.045;0.075;7;6.8010891055527365;8.642539756994061;7.18313373791619
46;2;0.47;0.37;0.12;0.5795;0.293;0.22699999999999998;0.14;9;12.93287612885042;6.77612639940117;9.876084157305852
47;1;0.46;0.375;0.12;0.4605;0.1775;0.11;0.15;7;17.216619101165307;4.0549042311143095;6.288087230507535
48;0;0.325;0.245;0.07;0.161;0.0755;0.0255;0.045;6;10.099401807784407;3.6661383775155296;7.793060161141009
49;1;0.525;0.425;0.16;0.8355;0.3545;0.2135;0.245;9;9.817488003202394;9.627032060372406;10.299448986650193
50;0;0.52;0.41;0.12;0.595;0.2385;0.111;0.19;8;11.82159046479008;11.097953150784175;9.220584445038433
51;2;0.4;0.32;0.095;0.303;0.1335;0.06;0.1;7;5.950313398644555;7.593417582410431;7.360213446874677
52;2;0.485;0.36;0.13;0.5415;0.2595;0.096;0.16;10;13.133109629460392;13.760953375461062;9.713237412706972
53;1;0.47;0.36;0.12;0.4775;0.2105;0.1055;0.15;10;12.107912674481344;10.682530697848536;8.233646701985432
54;2;0.405;0.31;0.1;0.385;0.17300000000000001;0.0915;0.11;7;5.588331688580145;10.462623972788098;7.606529904180266
55;1;0.5;0.4;0.14;0.6615;0.2565;0.1755;0.22;8;12.821941589887832;4.028581893858689;9.35481259425644
56;2;0.445;0.35;0.12;0.4425;0.192;0.0955;0.135;8;3.4838832222808547;8.573969406980346;8.894144363197526
57;2;0.47;0.385;0.135;0.5895;0.2765;0.12;0.17;8;10.29390095573969;7.4448288308951405;9.499203436231292
58;0;0.245;0.19;0.06;0.086;0.042;0.013999999999999999;0.025;4;8.756389282496341;4.719635071299759;2.1032038744223596
59;1;0.505;0.4;0.125;0.583;0.24600000000000002;0.13;0.175;7;9.771803610775372;8.351016673774518;7.068134392501381
60;2;0.45;0.345;0.105;0.4115;0.18;0.1125;0.135;7;6.767920767660683;6.460570413357097;6.899485237300737
61;2;0.505;0.405;0.11;0.625;0.305;0.16;0.175;9;14.922594118678317;10.186686711523503;9.0913247733387
62;1;0.53;0.41;0.13;0.6965;0.302;0.1935;0.2;10;8.439439442296404;8.991256595294523;8.49005985846993
63;2;0.425;0.325;0.095;0.3785;0.1705;0.08;0.1;7;16.897904235822335;3.8086605949831247;6.785170509638422
64;2;0.52;0.4;0.12;0.58;0.23399999999999999;0.1315;0.185;8;16.085842475638856;6.969544542484196;8.293040275361271
65;2;0.475;0.355;0.12;0.48;0.23399999999999999;0.1015;0.135;8;2.552234129466414;9.260060341167973;8.964853191989734
66;1;0.565;0.44;0.16;0.915;0.354;0.1935;0.32;12;20.033996618091045;11.008538745306423;11.937955687090046
67;1;0.595;0.495;0.185;1.285;0.41600000000000004;0.22399999999999998;0.485;13;19.644355398451793;10.018925307296938;13.294558224019093
68;1;0.475;0.39;0.12;0.5305;0.2135;0.1155;0.17;10;6.473234533622348;11.874492010983948;9.370309913451935
69;0;0.31;0.235;0.07;0.151;0.063;0.0405;0.045;6;9.229478708478336;4.404559380686528;5.86077686829479
70;2;0.555;0.425;0.13;0.7665;0.264;0.168;0.275;13;10.191472773921753;13.137721248722853;13.893803910941202
71;1;0.4;0.32;0.11;0.353;0.1405;0.0985;0.1;8;1.135054860816643;10.406708326302686;9.508454350739925
72;1;0.595;0.475;0.17;1.247;0.48;0.225;0.425;20;14.567540429142412;20.812029608514116;18.863129618385212
73;2;0.57;0.48;0.175;1.185;0.474;0.261;0.38;11;0.2617314485221911;11.446690578944617;10.163684416358427
74;1;0.605;0.45;0.195;1.0979999999999999;0.48100000000000004;0.2895;0.315;13;7.113989314099783;14.677344048406171;14.019568859631722
75;1;0.6;0.475;0.15;1.0075;0.4425;0.221;0.28;15;19.65575121121261;14.595709960864692;15.827591606550113
76;2;0.595;0.475;0.14;0.9440000000000001;0.3625;0.18899999999999997;0.315;9;9.264616079362876;9.69846581427158;9.542869410597415
77;1;0.6;0.47;0.15;0.922;0.363;0.19399999999999998;0.305;10;17.781605639891776;9.912936225864676;10.32430058141483
78;1;0.555;0.425;0.14;0.7879999999999999;0.282;0.1595;0.285;11;11.632128160493387;8.779323240491657;10.509391639251984
79;1;0.615;0.475;0.17;1.1025;0.4695;0.2355;0.345;14;15.759387223450062;16.07759149301266;16.357723778375842
80;1;0.575;0.445;0.14;0.941;0.3845;0.252;0.285;9;6.3084594570418275;7.607734404239177;7.515450453721458
81;2;0.62;0.51;0.175;1.615;0.5105;0.192;0.675;12;20.81043603581393;13.694952695399765;13.103719205973073
82;1;0.52;0.425;0.165;0.9885;0.396;0.225;0.32;16;10.692617673482115;16.998559334625174;17.57292914011375
83;2;0.595;0.475;0.16;1.3175;0.408;0.23399999999999999;0.58;21;19.64254143635065;20.14790852136529;20.70098169194823
84;2;0.58;0.45;0.14;1.013;0.38;0.21600000000000003;0.36;14;17.018176992627;14.480558013872976;14.314598579705768
85;1;0.57;0.465;0.18;1.295;0.33899999999999997;0.2225;0.44;12;2.4325795427225856;13.488630273811324;10.107250447363059
86;2;0.625;0.465;0.14;1.195;0.4825;0.205;0.4;13;6.950499922267837;12.114271002015041;11.847938837271396
87;2;0.56;0.44;0.16;0.8645;0.3305;0.2075;0.26;10;13.659249697765892;11.92319053073618;11.249443470184929
88;1;0.46;0.355;0.13;0.517;0.2205;0.114;0.165;9;7.394476444982196;11.64045664046638;10.020492837968492
89;1;0.575;0.45;0.16;0.9775;0.3135;0.231;0.33;12;1.3590785056013175;14.657262331234378;12.88721464259572
90;2;0.565;0.425;0.135;0.8115;0.341;0.1675;0.255;15;10.874371921796705;14.444205900306752;14.20178774113791
91;2;0.555;0.44;0.15;0.755;0.307;0.1525;0.26;12;11.978856096570425;11.846582243698498;11.439706492558436
92;2;0.595;0.465;0.175;1.115;0.4015;0.254;0.39;13;16.434689851137815;15.630264022628886;12.61086175404074
93;1;0.625;0.495;0.165;1.262;0.507;0.318;0.39;10;13.603618607286993;12.309682234652852;10.459967879537764
94;2;0.695;0.56;0.19;1.494;0.588;0.3425;0.485;15;16.0833803322392;13.016686321493388;12.812980648787732
95;2;0.665;0.535;0.195;1.6059999999999999;0.5755;0.38799999999999996;0.48;14;22.29617473886781;12.258135775186497;12.223269378541435
96;2;0.535;0.435;0.15;0.725;0.26899999999999996;0.1385;0.25;9;20.952478823617668;8.681752430524078;9.554324960008618
97;2;0.47;0.375;0.13;0.523;0.214;0.132;0.145;8;9.754691446033974;11.181117430371922;7.152091811430658
98;2;0.47;0.37;0.13;0.5225;0.201;0.133;0.165;7;0.046711280659719634;5.627517030914002;7.353469678320209
99;1;0.475;0.375;0.125;0.5785;0.2775;0.085;0.155;10;6.5525732665505;12.4309104779629;10.249270619436237
100;0;0.36;0.265;0.095;0.2315;0.105;0.046;0.075;7;8.616066211543444;3.103859565277251;7.0073224883580885
101;2;0.55;0.435;0.145;0.843;0.32799999999999996;0.1915;0.255;15;17.618705889661193;13.547566376425177;15.95450884690946
102;2;0.53;0.435;0.16;0.883;0.316;0.16399999999999998;0.335;15;10.814198506699032;13.200351538169329;14.282099360511937
103;2;0.53;0.415;0.14;0.7240000000000001;0.3105;0.1675;0.205;10;14.609314630068463;12.049797374475448;12.658813666184646
104;2;0.605;0.47;0.16;1.1735;0.4975;0.2405;0.345;12;19.076746510123023;12.507934402857735;10.702025076275925
105;1;0.52;0.41;0.155;0.727;0.29100000000000004;0.1835;0.235;12;11.928802779292315;12.440828401527565;9.903431611052092
106;1;0.545;0.43;0.165;0.802;0.2935;0.183;0.28;11;11.49941397269134;12.862137207689587;9.751408856747709
107;1;0.5;0.4;0.125;0.6675;0.261;0.1315;0.22;10;14.900094653113548;11.302457000320903;10.496223139713509
108;1;0.51;0.39;0.135;0.6335;0.231;0.179;0.2;9;1.8608317414306361;9.485818130529871;8.94015433808877
109;1;0.435;0.395;0.105;0.3635;0.136;0.098;0.13;9;10.29421376065498;9.540144762530078;10.777947388976672
110;2;0.495;0.395;0.125;0.5415;0.2375;0.1345;0.155;9;9.556652431920277;10.926589299692584;9.70044897386162
111;2;0.465;0.36;0.105;0.431;0.172;0.107;0.175;9;5.093937014124913;5.924724467737056;9.068568234918837
112;0;0.435;0.32;0.08;0.3325;0.1485;0.0635;0.105;9;14.294767340412925;9.001168667975257;7.184544616484094
113;2;0.425;0.35;0.105;0.39299999999999996;0.13;0.063;0.165;9;15.069365475790969;10.888628952064886;7.999377019169812
114;1;0.545;0.41;0.125;0.6935;0.2975;0.146;0.21;11;4.8188625309753474;13.24263088913695;11.015337656285388
115;1;0.53;0.415;0.115;0.5915;0.233;0.1585;0.18;11;8.627396183859595;13.140294788071671;11.999906039936452
116;1;0.49;0.375;0.135;0.6125;0.2555;0.102;0.22;11;5.398515686261001;12.239905042160204;11.903964899201235
117;2;0.44;0.34;0.105;0.402;0.1305;0.0955;0.165;10;14.185017659356081;10.036533281173606;9.387642818547189
118;1;0.56;0.43;0.15;0.8825;0.3465;0.172;0.31;9;11.85701450367434;10.363589385131858;9.531529190570152
119;2;0.405;0.305;0.085;0.2605;0.1145;0.0595;0.085;8;20.57484605115673;6.6567818099286065;8.529317550578114
120;1;0.47;0.365;0.105;0.4205;0.163;0.1035;0.14;9;3.90653011674231;11.391539060163048;8.683147608020695
121;0;0.385;0.295;0.085;0.2535;0.10300000000000001;0.0575;0.085;7;13.221401639718104;5.8160395661735755;6.957049714483303
122;1;0.515;0.425;0.14;0.7659999999999999;0.304;0.1725;0.255;14;3.2869708260991235;11.460726964878237;14.700118333488168
123;2;0.37;0.265;0.075;0.214;0.09;0.051;0.07;6;4.825675361370693;5.061322876762004;6.118965968561253
124;0;0.36;0.28;0.08;0.1755;0.081;0.0505;0.07;6;5.209063287941675;8.178537514206068;5.6016030904618646
125;0;0.27;0.195;0.06;0.073;0.0285;0.0235;0.03;5;11.558906922405644;5.558872385723173;5.778508762804102
126;0;0.375;0.275;0.09;0.23800000000000002;0.1075;0.0545;0.07;6;15.018571043117515;4.51421595468837;6.3961137709435425
127;0;0.385;0.29;0.085;0.2505;0.11199999999999999;0.061;0.08;8;9.946975296992353;5.387246175959968;7.418231863779312
128;2;0.7;0.535;0.16;1.7255;0.63;0.2635;0.54;19;26.89925544550757;17.57950903953977;19.544655482407748
129;2;0.71;0.54;0.165;1.959;0.7665;0.261;0.78;18;17.48725871821193;18.664076003351425;17.82978204903907
130;2;0.595;0.48;0.165;1.262;0.4835;0.28300000000000003;0.41;17;13.684749685360387;18.773736701290225;17.287854420924372
131;1;0.44;0.35;0.125;0.4035;0.175;0.063;0.129;9;8.383737772954252;7.903309840860118;8.43923923294133
132;1;0.325;0.26;0.09;0.1915;0.085;0.036000000000000004;0.062;7;8.554207334821994;9.338501081768644;7.48681034366807
133;0;0.35;0.26;0.095;0.21100000000000002;0.086;0.055999999999999994;0.068;7;4.950992695146842;10.146397716501818;7.625520098721578
134;0;0.265;0.2;0.065;0.0975;0.04;0.0205;0.027999999999999997;7;-2.0191177346574456;8.749685496326238;7.996553346801984
135;1;0.425;0.33;0.115;0.406;0.1635;0.081;0.1355;8;0.28008901395132213;9.192431901505149;7.459347406060208
136;1;0.305;0.23;0.08;0.156;0.0675;0.0345;0.048;7;-7.133999172669787;8.037402034264163;6.493152351514267
137;2;0.345;0.255;0.09;0.2005;0.094;0.0295;0.063;9;8.022213866243211;9.712205716650274;7.8585973034891445
138;1;0.405;0.325;0.11;0.3555;0.151;0.063;0.11699999999999999;9;7.067145223853757;13.5645133462612;10.079907708894849
139;2;0.375;0.285;0.095;0.253;0.096;0.0575;0.0925;9;7.28895656997206;6.903146495440592;8.831766614374825
140;1;0.565;0.445;0.155;0.826;0.341;0.2055;0.2475;10;13.286769309165765;10.896236998267188;9.493942303833014
141;1;0.55;0.45;0.145;0.741;0.295;0.1435;0.2665;10;4.244660897798699;10.034602676856949;10.512188978107837
142;2;0.65;0.52;0.19;1.3445;0.519;0.306;0.4465;16;18.927349740123443;18.543967770578867;14.748251476823174
143;2;0.56;0.455;0.155;0.797;0.34;0.19;0.2425;11;19.791990914959744;15.30017242486906;10.609732992679993
144;2;0.475;0.375;0.13;0.5175;0.2075;0.1165;0.17;10;10.206163091477586;9.62607598659223;11.6786565076525
145;1;0.49;0.38;0.125;0.5489999999999999;0.245;0.1075;0.174;10;7.9115430567416505;10.086209827570485;10.049117151664134
146;2;0.46;0.35;0.12;0.515;0.22399999999999998;0.10800000000000001;0.1565;10;0.9256189725698665;9.318652145351523;10.713109535920943
147;0;0.28;0.205;0.08;0.127;0.052000000000000005;0.039;0.042;9;14.438380448961425;4.946762857982116;10.099148621387299
148;0;0.175;0.13;0.055;0.0315;0.0105;0.0065;0.0125;5;17.04105045591713;4.535846524794384;4.851996270940385
149;0;0.17;0.13;0.095;0.03;0.013000000000000001;0.008;0.01;4;-2.7451581056450696;2.4208969511088974;2.0786281485332925
150;2;0.59;0.475;0.145;1.053;0.4415;0.262;0.325;15;15.603939339254676;14.034159013060357;14.103514139611597
151;1;0.605;0.5;0.185;1.1185;0.469;0.2585;0.335;9;3.131416536258529;7.925036558999265;8.502092662203482
152;1;0.635;0.515;0.19;1.3715;0.5065;0.305;0.45;10;10.166065013528975;12.679556979749888;10.55783070640886
153;1;0.605;0.485;0.16;1.0565;0.37;0.2355;0.355;10;12.205238043991757;7.24130875429586;7.786417731633414
154;1;0.565;0.45;0.135;0.9885;0.387;0.1495;0.31;12;13.07914469817533;12.066451690110352;13.152949824125587
155;2;0.515;0.405;0.13;0.722;0.32;0.131;0.21;10;13.515917190903707;11.049109456447745;10.709886837140735
156;1;0.575;0.46;0.19;0.9940000000000001;0.392;0.2425;0.34;13;11.751782659412104;10.268832260494902;13.815047953096514
157;2;0.645;0.485;0.215;1.514;0.546;0.2615;0.635;16;21.985126944504522;18.964437728031236;15.75016902547261
158;1;0.58;0.455;0.17;0.9075;0.374;0.2135;0.285;13;17.758857339105443;12.515799058359148;11.833546405764361
159;1;0.575;0.46;0.165;1.124;0.2985;0.1785;0.44;13;7.520313374850568;15.687040795710946;12.481491146422348
160;2;0.605;0.465;0.165;1.056;0.4215;0.2475;0.34;13;20.960334813784804;12.623169032661341;13.926587343168647
161;1;0.605;0.485;0.16;1.222;0.53;0.2575;0.28;13;7.291380277957736;11.823711871957004;12.42815659925963
162;2;0.61;0.485;0.175;1.2445;0.544;0.297;0.345;12;0.5128743808161573;12.501758117772592;12.297785678483754
163;1;0.725;0.56;0.21;2.141;0.65;0.39799999999999996;1.005;18;21.51271551640475;16.318717972677526;17.553532346690254
164;1;0.65;0.545;0.23;1.7519999999999998;0.5605;0.2895;0.815;16;9.50225338809685;15.750405217717718;16.360103613970974
165;2;0.725;0.57;0.19;2.55;1.0705;0.483;0.725;14;18.4813357183409;13.57387258360875;14.993826241563697
166;1;0.725;0.575;0.175;2.124;0.765;0.4515;0.85;20;17.47683027217385;17.755005749837647;19.399759411637373
167;1;0.68;0.57;0.205;1.8419999999999999;0.625;0.408;0.65;20;21.806615123387388;19.254101372244694;18.204212754042786
168;2;0.705;0.56;0.22;1.9809999999999999;0.8175;0.3085;0.76;14;14.949254914806438;18.062698534507888;15.339667594326345
169;1;0.68;0.515;0.175;1.6185;0.5125;0.409;0.62;12;10.712996967557602;13.977583634899483;12.831053633255099
170;2;0.695;0.55;0.215;1.9565;0.7125;0.541;0.59;14;12.50786343042767;11.617456510988006;13.457732658994233
171;1;0.53;0.395;0.145;0.775;0.308;0.16899999999999998;0.255;7;6.321478604288278;7.139034542673297;7.429888016944252
172;2;0.525;0.435;0.155;1.065;0.486;0.233;0.285;8;8.643515527603707;5.015166070753471;8.07124737861729
173;1;0.52;0.405;0.115;0.7759999999999999;0.32;0.1845;0.22;8;16.071829355604258;6.8813586554729;8.718896665466263
174;0;0.235;0.16;0.04;0.048;0.0185;0.018000000000000002;0.015;5;6.206386087038519;7.0664370235539025;5.404219173980744
175;0;0.36;0.26;0.09;0.1785;0.0645;0.037000000000000005;0.075;7;6.81007399477593;3.250708677172036;5.885479492624847
176;0;0.315;0.21;0.06;0.125;0.06;0.0375;0.035;5;5.774691443330788;4.097411839948985;4.967402830776115
177;0;0.315;0.245;0.085;0.1435;0.053;0.0475;0.05;8;2.659118445887616;6.578639276605209;7.173520336289938
178;0;0.225;0.16;0.045;0.0465;0.025;0.015;0.015;4;7.661949738528692;1.699599340974621;2.768350154063449
179;2;0.58;0.475;0.15;0.97;0.385;0.2165;0.35;11;12.941206176323142;9.889867845846888;11.444628422347078
180;2;0.57;0.48;0.18;0.9395;0.39899999999999997;0.2;0.295;14;10.845182958714355;14.199124034489566;13.978781124606764
181;2;0.64;0.51;0.175;1.368;0.515;0.266;0.57;21;21.175765169076023;20.59095068417165;21.598242100091582
182;1;0.56;0.45;0.16;1.0235;0.429;0.268;0.3;10;12.017266551487399;10.27530422434729;10.89226804489044
183;1;0.62;0.475;0.175;1.0165;0.4355;0.214;0.325;10;6.371132017729545;11.485939169740579;11.237913598732598
184;1;0.645;0.51;0.2;1.5675;0.621;0.36700000000000005;0.46;12;18.821310797148662;15.70673502575065;10.927173801888001
185;2;0.62;0.49;0.19;1.218;0.5455;0.2965;0.355;13;18.798214750745178;12.757934376440737;13.762537578938888
186;1;0.63;0.48;0.15;1.0525;0.392;0.336;0.285;12;12.10740170428788;13.073297921289399;12.982273408545884
187;1;0.63;0.5;0.185;1.383;0.54;0.3315;0.38;10;3.833454534794308;9.899950280602615;9.257841229388932
188;1;0.63;0.48;0.16;1.199;0.5265;0.335;0.315;11;11.416249117178424;7.495438750327077;12.251281634269034
189;1;0.585;0.46;0.17;0.9325;0.365;0.271;0.29;9;6.5170808572870325;9.922391172148997;10.265752981408074
190;2;0.615;0.48;0.18;1.1595;0.4845;0.2165;0.325;13;9.79584935170779;11.8687235974223;13.161410374087454
191;2;0.61;0.485;0.17;1.0225;0.419;0.2405;0.36;12;4.144127550340558;12.42085785687901;12.351349500742426
192;2;0.58;0.45;0.15;0.927;0.276;0.1815;0.36;14;19.08217957264995;20.36482356743786;13.628747025038873
193;0;0.355;0.275;0.085;0.22;0.092;0.06;0.15;8;9.433989751090317;5.389107806498769;6.863503654406899
194;1;0.51;0.4;0.14;0.8145;0.45899999999999996;0.1965;0.195;10;10.944166186413106;5.93130179625337;10.053570157844412
195;2;0.5;0.405;0.155;0.772;0.34600000000000003;0.1535;0.245;12;14.044956691805002;11.075821024779705;12.583626282543248
196;1;0.505;0.41;0.15;0.644;0.285;0.145;0.21;11;8.073791098735066;8.420197299851527;10.366619319112543
197;2;0.64;0.5;0.185;1.3035;0.4445;0.2635;0.465;16;19.23216002334473;18.616008635777337;17.602958233847506
198;2;0.56;0.45;0.16;0.922;0.43200000000000005;0.17800000000000002;0.26;15;8.647600811272603;14.01126825122973;15.366320746837308
199;2;0.585;0.46;0.185;0.922;0.3635;0.213;0.285;10;15.211712225171398;9.460374355147046;9.433446051844859
200;1;0.45;0.345;0.12;0.4165;0.1655;0.095;0.135;9;0.6367626552819843;7.406412791866086;8.832338103670512
201;2;0.5;0.4;0.165;0.825;0.254;0.205;0.285;13;17.274924333384888;11.99869535393002;14.431538630977991
202;1;0.5;0.4;0.145;0.63;0.23399999999999999;0.1465;0.23;12;20.702866220108866;16.049937459402763;12.152580369906683
203;1;0.53;0.435;0.17;0.8155;0.2985;0.155;0.275;13;10.97414371123757;16.35707248016351;12.968450120802762
204;2;0.42;0.335;0.115;0.369;0.171;0.071;0.12;8;7.547980326377193;7.804886465319436;6.7155786833745825
205;1;0.44;0.34;0.14;0.48200000000000004;0.18600000000000003;0.1085;0.16;9;5.723089420787966;8.844388002150486;8.41704509420765
206;0;0.4;0.3;0.11;0.315;0.109;0.067;0.12;9;8.137744970001844;7.658286803574239;9.808609688009913
207;0;0.435;0.34;0.11;0.3795;0.1495;0.085;0.12;8;10.479099914669808;9.82753160752403;6.89968472460068
208;1;0.525;0.415;0.17;0.8325;0.2755;0.1685;0.31;13;10.037379332685205;9.695009246161321;15.641509550523294
209;0;0.37;0.28;0.095;0.2655;0.122;0.052000000000000005;0.08;7;0.7071300535457983;5.737124201860945;8.638469567619582
210;1;0.49;0.365;0.145;0.6345;0.1995;0.1625;0.22;10;2.398297782455975;10.527600922894052;10.422692690682418
211;2;0.335;0.25;0.09;0.18100000000000002;0.0755;0.0415;0.06;7;0.4336082579647531;3.6954145248167065;6.637529512816634
212;1;0.415;0.325;0.105;0.38;0.1595;0.0785;0.12;12;8.582764041086882;14.567822099773615;12.745115294809942
213;2;0.5;0.405;0.14;0.6155;0.24100000000000002;0.1355;0.205;9;1.881423120921208;8.173057282104038;10.317907162080372
214;1;0.485;0.395;0.16;0.66;0.2475;0.128;0.235;14;19.92126604112272;12.686071233314848;14.506913968945172
215;2;0.55;0.405;0.14;0.8025;0.244;0.1635;0.255;10;5.236597986472731;10.98003244079876;10.228570660617986
216;2;0.45;0.35;0.13;0.46;0.174;0.111;0.135;8;-2.353506561838831;10.787435216909683;8.133683185357182
217;0;0.405;0.3;0.12;0.324;0.1265;0.07;0.11;7;-0.1998345405056643;8.5744370066824;6.839851761957527
218;2;0.47;0.36;0.135;0.501;0.1665;0.115;0.165;10;10.565165635197364;9.397046464264136;8.804920250639386
219;1;0.415;0.305;0.13;0.32;0.1305;0.0755;0.105;8;12.13725070484039;9.03565393678451;7.964306173854727
220;1;0.445;0.325;0.125;0.455;0.1785;0.1125;0.14;9;10.443426655151187;9.239733736429242;10.145722686519676
221;1;0.47;0.35;0.145;0.5175;0.187;0.1235;0.18;11;7.4553604138717455;6.479523469111586;11.995227534643352
222;1;0.49;0.375;0.15;0.5755;0.22;0.14400000000000002;0.19;9;6.647726065995898;6.583629615583842;8.811153334014728
223;1;0.445;0.355;0.15;0.485;0.18100000000000002;0.125;0.155;11;12.008479656975354;11.306400628026125;10.952271445794837
224;0;0.425;0.38;0.105;0.3265;0.1285;0.0785;0.1;10;5.7266891410959;9.631550088862705;9.492820331986877
225;1;0.5;0.37;0.135;0.45;0.1715;0.1055;0.155;9;6.91239295226939;9.134174144726853;8.845872005014101
